Gen# 	 MinFit 	 AvgFit 	 MaxFit 
  0 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  1 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  2 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  3 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  4 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  5 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  6 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  7 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  8 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
  9 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 10 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 11 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 12 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 13 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 14 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 15 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 16 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 17 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 18 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 19 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 20 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 21 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 22 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 23 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 24 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 25 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 26 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 27 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 28 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 29 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 30 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
 30 	 1.00000E+00 	 1.00000E+00 	 1.00000E+00 
