Gen# 	 MinFit 	 AvgFit 	 MaxFit 
  0 	 7.22007E-02 	 1.54642E-01 	 2.42744E-01 
  1 	 7.22007E-02 	 3.06117E-01 	 6.90147E-01 
  2 	 7.22007E-02 	 2.99677E-01 	 7.30322E-01 
  3 	 7.22007E-02 	 3.07329E-01 	 8.87491E-01 
  4 	 7.22007E-02 	 2.99776E-01 	 8.80969E-01 
  5 	 7.22007E-02 	 3.16222E-01 	 8.84350E-01 
  6 	 7.22007E-02 	 3.17110E-01 	 6.75805E-01 
  7 	 7.22007E-02 	 3.05534E-01 	 5.68928E-01 
  8 	 7.22007E-02 	 3.05767E-01 	 8.55622E-01 
  9 	 7.22007E-02 	 2.97265E-01 	 5.65198E-01 
 10 	 7.22007E-02 	 3.11779E-01 	 7.31691E-01 
 11 	 7.22007E-02 	 2.93563E-01 	 7.35902E-01 
 12 	 7.22007E-02 	 3.03515E-01 	 7.54697E-01 
 13 	 7.22007E-02 	 3.04054E-01 	 8.30006E-01 
 14 	 7.22007E-02 	 2.97860E-01 	 7.13233E-01 
 15 	 7.22007E-02 	 2.94733E-01 	 8.58802E-01 
 16 	 7.22007E-02 	 2.95952E-01 	 7.32043E-01 
 17 	 7.22007E-02 	 3.01601E-01 	 8.94358E-01 
 18 	 7.22007E-02 	 2.95863E-01 	 6.37229E-01 
 19 	 7.22007E-02 	 3.16744E-01 	 7.43005E-01 
 20 	 7.22007E-02 	 3.05997E-01 	 7.93218E-01 
 21 	 7.22007E-02 	 3.04625E-01 	 7.20911E-01 
 22 	 7.22007E-02 	 3.01220E-01 	 7.97668E-01 
 23 	 7.22007E-02 	 3.00558E-01 	 8.56680E-01 
 24 	 7.22007E-02 	 2.83684E-01 	 6.93962E-01 
 25 	 7.22007E-02 	 2.84847E-01 	 7.00296E-01 
 26 	 7.22007E-02 	 3.06212E-01 	 7.64490E-01 
 27 	 7.22007E-02 	 3.07044E-01 	 7.61846E-01 
 28 	 7.22007E-02 	 3.08109E-01 	 8.96575E-01 
 29 	 7.22007E-02 	 3.10324E-01 	 6.47670E-01 
 30 	 7.22007E-02 	 3.03856E-01 	 6.52873E-01 
 31 	 7.22007E-02 	 3.09033E-01 	 7.04031E-01 
 32 	 7.22007E-02 	 2.98511E-01 	 6.81851E-01 
 33 	 7.22007E-02 	 3.20253E-01 	 7.26334E-01 
 34 	 7.22007E-02 	 3.04148E-01 	 7.52339E-01 
 35 	 7.22007E-02 	 2.97520E-01 	 7.59878E-01 
 36 	 7.22007E-02 	 3.06349E-01 	 7.52007E-01 
 37 	 7.22007E-02 	 3.06338E-01 	 8.97316E-01 
 38 	 7.22007E-02 	 3.06425E-01 	 7.56725E-01 
 39 	 7.22007E-02 	 3.16651E-01 	 8.92456E-01 
 40 	 7.22007E-02 	 3.10337E-01 	 6.50768E-01 
 41 	 7.22007E-02 	 3.08977E-01 	 8.28743E-01 
 42 	 7.22007E-02 	 3.14534E-01 	 7.84107E-01 
 43 	 7.22007E-02 	 2.98411E-01 	 6.23053E-01 
 44 	 7.22007E-02 	 3.02719E-01 	 5.84487E-01 
 45 	 7.22007E-02 	 2.94537E-01 	 6.65410E-01 
 46 	 7.22007E-02 	 2.97577E-01 	 7.29682E-01 
 47 	 7.22007E-02 	 3.06197E-01 	 6.86993E-01 
 48 	 7.22007E-02 	 3.00583E-01 	 8.00619E-01 
 49 	 7.22007E-02 	 2.97586E-01 	 5.98333E-01 
 50 	 7.22007E-02 	 2.98340E-01 	 7.93941E-01 
 51 	 7.22007E-02 	 2.89796E-01 	 7.19918E-01 
 52 	 7.22007E-02 	 2.89975E-01 	 6.08097E-01 
 53 	 7.22007E-02 	 3.15504E-01 	 6.86946E-01 
 54 	 7.22007E-02 	 2.99866E-01 	 7.26243E-01 
 55 	 7.22007E-02 	 3.03066E-01 	 6.10779E-01 
 56 	 7.22007E-02 	 3.11298E-01 	 7.97745E-01 
 57 	 7.22007E-02 	 3.12759E-01 	 7.91462E-01 
 58 	 7.22007E-02 	 3.09160E-01 	 7.67558E-01 
 59 	 7.22007E-02 	 3.16160E-01 	 7.23178E-01 
