Gen# 	 MinFit 	 AvgFit 	 MaxFit 
  0 	 8.85291E-02 	 1.64590E-01 	 3.01341E-01 
  1 	 8.07657E-02 	 1.61942E-01 	 4.05201E-01 
  2 	 8.07657E-02 	 1.65025E-01 	 4.39477E-01 
  3 	 8.07657E-02 	 1.66646E-01 	 5.05595E-01 
  4 	 8.07657E-02 	 1.59949E-01 	 4.51971E-01 
  5 	 7.15779E-02 	 1.54668E-01 	 3.13086E-01 
  6 	 7.15779E-02 	 1.57745E-01 	 4.82927E-01 
  7 	 7.15779E-02 	 1.60890E-01 	 4.08804E-01 
  8 	 7.15779E-02 	 1.61669E-01 	 4.27795E-01 
  9 	 7.15779E-02 	 1.60144E-01 	 4.52839E-01 
 10 	 7.15779E-02 	 1.66573E-01 	 4.51924E-01 
 11 	 7.15779E-02 	 1.55079E-01 	 3.14089E-01 
 12 	 7.15779E-02 	 1.49016E-01 	 3.73152E-01 
 13 	 7.15779E-02 	 1.57092E-01 	 3.21852E-01 
 14 	 7.15779E-02 	 1.59400E-01 	 4.08314E-01 
 15 	 7.15779E-02 	 1.58848E-01 	 4.80774E-01 
 16 	 7.15779E-02 	 1.51463E-01 	 4.10609E-01 
 17 	 7.15779E-02 	 1.54037E-01 	 5.17498E-01 
 18 	 7.15779E-02 	 1.62255E-01 	 4.79564E-01 
 19 	 7.15779E-02 	 1.56497E-01 	 4.19484E-01 
 20 	 7.15779E-02 	 1.53873E-01 	 3.62128E-01 
 21 	 7.15779E-02 	 1.58772E-01 	 4.41596E-01 
 22 	 7.15779E-02 	 1.48321E-01 	 4.76362E-01 
 23 	 7.15779E-02 	 1.53668E-01 	 5.23200E-01 
 24 	 7.15779E-02 	 1.50434E-01 	 3.30589E-01 
 25 	 7.15779E-02 	 1.57416E-01 	 4.03759E-01 
 26 	 7.15779E-02 	 1.56892E-01 	 3.37920E-01 
 27 	 7.15779E-02 	 1.61742E-01 	 4.60698E-01 
 28 	 7.15779E-02 	 1.62123E-01 	 4.19210E-01 
 29 	 7.15779E-02 	 1.53881E-01 	 3.91732E-01 
 30 	 7.15779E-02 	 1.51403E-01 	 3.80878E-01 
 31 	 7.15779E-02 	 1.60929E-01 	 3.58365E-01 
 32 	 7.15779E-02 	 1.52263E-01 	 3.63009E-01 
 33 	 7.15779E-02 	 1.53286E-01 	 4.44262E-01 
 34 	 7.15779E-02 	 1.57740E-01 	 4.38962E-01 
 35 	 7.15779E-02 	 1.64836E-01 	 5.09211E-01 
 36 	 7.15779E-02 	 1.65107E-01 	 5.16132E-01 
 37 	 7.15779E-02 	 1.57316E-01 	 4.43746E-01 
 38 	 7.15779E-02 	 1.58270E-01 	 4.93091E-01 
 39 	 7.15779E-02 	 1.48691E-01 	 4.23445E-01 
 40 	 7.15779E-02 	 1.51678E-01 	 4.99747E-01 
 41 	 7.15779E-02 	 1.49281E-01 	 3.66167E-01 
 42 	 7.15779E-02 	 1.50672E-01 	 4.47849E-01 
 43 	 7.15779E-02 	 1.55089E-01 	 3.69476E-01 
 44 	 7.15779E-02 	 1.50932E-01 	 4.81334E-01 
 45 	 6.55369E-02 	 1.48876E-01 	 4.07832E-01 
 46 	 6.55369E-02 	 1.45739E-01 	 4.03331E-01 
 47 	 6.55369E-02 	 1.54394E-01 	 3.35787E-01 
 48 	 6.55369E-02 	 1.47630E-01 	 3.02846E-01 
 49 	 6.55369E-02 	 1.57300E-01 	 4.21840E-01 
 50 	 6.55369E-02 	 1.52006E-01 	 4.54272E-01 
 51 	 6.55369E-02 	 1.54027E-01 	 3.60297E-01 
 52 	 6.55369E-02 	 1.56767E-01 	 4.36282E-01 
 53 	 6.55369E-02 	 1.63801E-01 	 4.78945E-01 
 54 	 6.55369E-02 	 1.57001E-01 	 2.80766E-01 
 55 	 6.55369E-02 	 1.46921E-01 	 2.79524E-01 
 56 	 6.55369E-02 	 1.63065E-01 	 4.69255E-01 
 57 	 6.55369E-02 	 1.57615E-01 	 4.59838E-01 
 58 	 6.55369E-02 	 1.55465E-01 	 4.47125E-01 
 59 	 6.55369E-02 	 1.55302E-01 	 4.64452E-01 
 60 	 6.55369E-02 	 1.53473E-01 	 3.30434E-01 
 61 	 6.55369E-02 	 1.56794E-01 	 3.08061E-01 
 62 	 6.55369E-02 	 1.57602E-01 	 3.91596E-01 
 63 	 6.55369E-02 	 1.49712E-01 	 4.30651E-01 
 64 	 6.55369E-02 	 1.57681E-01 	 4.67765E-01 
 65 	 6.55369E-02 	 1.48357E-01 	 3.94012E-01 
 66 	 6.55369E-02 	 1.63675E-01 	 3.65440E-01 
 67 	 6.55369E-02 	 1.59998E-01 	 2.86453E-01 
 68 	 6.55369E-02 	 1.61860E-01 	 5.14809E-01 
 69 	 6.55369E-02 	 1.64342E-01 	 4.95776E-01 
 70 	 6.55369E-02 	 1.67144E-01 	 3.92890E-01 
 71 	 6.55369E-02 	 1.65104E-01 	 4.21104E-01 
 72 	 6.55369E-02 	 1.55214E-01 	 4.09873E-01 
 73 	 6.55369E-02 	 1.52751E-01 	 3.73396E-01 
 74 	 6.55369E-02 	 1.63109E-01 	 4.76072E-01 
 75 	 6.55369E-02 	 1.51828E-01 	 4.62934E-01 
 76 	 6.55369E-02 	 1.51318E-01 	 4.77875E-01 
 77 	 6.55369E-02 	 1.53544E-01 	 2.85027E-01 
 78 	 6.55369E-02 	 1.64900E-01 	 4.88603E-01 
 79 	 6.55369E-02 	 1.53261E-01 	 4.84660E-01 
 80 	 6.55369E-02 	 1.56511E-01 	 3.42793E-01 
 81 	 6.55369E-02 	 1.50891E-01 	 3.98532E-01 
 82 	 6.55369E-02 	 1.52554E-01 	 3.06087E-01 
 83 	 6.55369E-02 	 1.48538E-01 	 3.74929E-01 
 84 	 6.55369E-02 	 1.57893E-01 	 3.39716E-01 
 85 	 6.55369E-02 	 1.68824E-01 	 4.82115E-01 
 86 	 6.55369E-02 	 1.54312E-01 	 3.54281E-01 
 87 	 6.55369E-02 	 1.53112E-01 	 4.25881E-01 
 88 	 6.55369E-02 	 1.65219E-01 	 4.21066E-01 
 89 	 6.55369E-02 	 1.53373E-01 	 3.11681E-01 
 90 	 6.55369E-02 	 1.52209E-01 	 4.85239E-01 
 91 	 6.55369E-02 	 1.47971E-01 	 4.66479E-01 
 92 	 6.55369E-02 	 1.46113E-01 	 3.36544E-01 
 93 	 6.55369E-02 	 1.53632E-01 	 4.78592E-01 
 94 	 6.55369E-02 	 1.47440E-01 	 3.41038E-01 
 95 	 6.55369E-02 	 1.63133E-01 	 4.29192E-01 
 96 	 6.55369E-02 	 1.55373E-01 	 3.25117E-01 
 97 	 6.55369E-02 	 1.62355E-01 	 4.77808E-01 
 98 	 6.55369E-02 	 1.67243E-01 	 5.03428E-01 
 99 	 6.55369E-02 	 1.68750E-01 	 4.51197E-01 
100 	 6.55369E-02 	 1.56195E-01 	 4.20268E-01 
101 	 6.55369E-02 	 1.58475E-01 	 4.40960E-01 
102 	 6.55369E-02 	 1.49757E-01 	 2.98197E-01 
103 	 6.55369E-02 	 1.54599E-01 	 3.06409E-01 
104 	 6.55369E-02 	 1.55291E-01 	 4.83415E-01 
105 	 6.55369E-02 	 1.55816E-01 	 3.94033E-01 
106 	 6.55369E-02 	 1.52036E-01 	 3.84918E-01 
107 	 6.55369E-02 	 1.49981E-01 	 3.75257E-01 
108 	 6.55369E-02 	 1.45985E-01 	 3.78161E-01 
109 	 6.55369E-02 	 1.43598E-01 	 3.24133E-01 
110 	 6.55369E-02 	 1.51200E-01 	 4.17139E-01 
111 	 6.55369E-02 	 1.44086E-01 	 4.28393E-01 
112 	 6.55369E-02 	 1.53406E-01 	 5.33048E-01 
113 	 6.55369E-02 	 1.53770E-01 	 3.55983E-01 
114 	 6.55369E-02 	 1.58748E-01 	 4.80207E-01 
115 	 6.55369E-02 	 1.53400E-01 	 3.99072E-01 
116 	 6.55369E-02 	 1.59887E-01 	 4.52928E-01 
117 	 6.55369E-02 	 1.56832E-01 	 3.93782E-01 
118 	 6.55369E-02 	 1.46474E-01 	 3.67606E-01 
119 	 6.55369E-02 	 1.65521E-01 	 5.06428E-01 
120 	 6.55369E-02 	 1.53604E-01 	 4.36172E-01 
121 	 6.55369E-02 	 1.55091E-01 	 4.05738E-01 
122 	 6.55369E-02 	 1.55123E-01 	 4.05747E-01 
123 	 6.55369E-02 	 1.46449E-01 	 4.87623E-01 
124 	 6.55369E-02 	 1.53285E-01 	 3.11976E-01 
125 	 6.55369E-02 	 1.47110E-01 	 4.59458E-01 
126 	 6.55369E-02 	 1.46913E-01 	 4.60946E-01 
127 	 6.55369E-02 	 1.52648E-01 	 4.66936E-01 
128 	 6.55369E-02 	 1.45313E-01 	 3.99541E-01 
129 	 6.55369E-02 	 1.50798E-01 	 4.30079E-01 
130 	 6.55369E-02 	 1.54528E-01 	 4.28427E-01 
131 	 6.55369E-02 	 1.56307E-01 	 4.03657E-01 
132 	 6.55369E-02 	 1.52347E-01 	 3.94343E-01 
133 	 6.55369E-02 	 1.62198E-01 	 4.93587E-01 
134 	 6.55369E-02 	 1.59621E-01 	 3.50360E-01 
135 	 6.55369E-02 	 1.54056E-01 	 3.71640E-01 
136 	 6.55369E-02 	 1.51565E-01 	 3.52941E-01 
137 	 6.55369E-02 	 1.55395E-01 	 4.12908E-01 
138 	 6.55369E-02 	 1.43168E-01 	 3.75521E-01 
139 	 6.55369E-02 	 1.51696E-01 	 4.50285E-01 
140 	 6.55369E-02 	 1.57558E-01 	 4.73678E-01 
141 	 6.55369E-02 	 1.49565E-01 	 4.17630E-01 
142 	 6.55369E-02 	 1.55333E-01 	 4.76087E-01 
143 	 6.55369E-02 	 1.56477E-01 	 5.07647E-01 
144 	 6.55369E-02 	 1.54152E-01 	 4.68797E-01 
145 	 6.55369E-02 	 1.56856E-01 	 4.78528E-01 
146 	 6.55369E-02 	 1.59127E-01 	 4.61916E-01 
147 	 6.55369E-02 	 1.55262E-01 	 4.87387E-01 
148 	 6.55369E-02 	 1.50308E-01 	 2.62403E-01 
149 	 6.55369E-02 	 1.50123E-01 	 4.50168E-01 
150 	 6.55369E-02 	 1.56686E-01 	 4.41449E-01 
151 	 6.55369E-02 	 1.54977E-01 	 4.47871E-01 
152 	 6.55369E-02 	 1.51405E-01 	 3.15852E-01 
153 	 6.55369E-02 	 1.51666E-01 	 4.66534E-01 
154 	 6.55369E-02 	 1.54703E-01 	 4.03852E-01 
155 	 6.55369E-02 	 1.58095E-01 	 3.22302E-01 
156 	 6.55369E-02 	 1.65087E-01 	 5.15588E-01 
157 	 6.55369E-02 	 1.56564E-01 	 4.62731E-01 
158 	 6.55369E-02 	 1.53837E-01 	 3.87517E-01 
159 	 6.55369E-02 	 1.56621E-01 	 4.53129E-01 
160 	 6.55369E-02 	 1.61335E-01 	 4.29878E-01 
161 	 6.55369E-02 	 1.67097E-01 	 4.35529E-01 
162 	 6.55369E-02 	 1.54925E-01 	 4.21676E-01 
163 	 6.55369E-02 	 1.50898E-01 	 2.81969E-01 
164 	 6.55369E-02 	 1.52744E-01 	 3.69350E-01 
165 	 6.55369E-02 	 1.57371E-01 	 4.69661E-01 
166 	 6.55369E-02 	 1.57304E-01 	 4.24607E-01 
167 	 6.55369E-02 	 1.69919E-01 	 4.41338E-01 
168 	 6.55369E-02 	 1.61520E-01 	 5.08943E-01 
169 	 6.55369E-02 	 1.50238E-01 	 3.93269E-01 
170 	 6.55369E-02 	 1.60769E-01 	 4.56534E-01 
171 	 6.55369E-02 	 1.59170E-01 	 4.42109E-01 
172 	 6.55369E-02 	 1.53411E-01 	 4.22089E-01 
173 	 6.55369E-02 	 1.71099E-01 	 4.68551E-01 
174 	 6.55369E-02 	 1.50816E-01 	 4.18203E-01 
175 	 6.55369E-02 	 1.51973E-01 	 4.47243E-01 
176 	 6.55369E-02 	 1.58741E-01 	 4.65188E-01 
177 	 6.55369E-02 	 1.53915E-01 	 4.32535E-01 
178 	 6.55369E-02 	 1.49920E-01 	 3.11115E-01 
179 	 6.55369E-02 	 1.49751E-01 	 2.75330E-01 
180 	 6.55369E-02 	 1.54186E-01 	 4.54975E-01 
181 	 6.55369E-02 	 1.56291E-01 	 4.49186E-01 
182 	 6.55369E-02 	 1.54552E-01 	 3.58716E-01 
183 	 6.55369E-02 	 1.53342E-01 	 4.48126E-01 
184 	 6.55369E-02 	 1.51924E-01 	 3.67804E-01 
185 	 6.55369E-02 	 1.53738E-01 	 3.16224E-01 
186 	 6.55369E-02 	 1.62773E-01 	 4.12626E-01 
187 	 6.55369E-02 	 1.57349E-01 	 4.38082E-01 
188 	 6.55369E-02 	 1.54674E-01 	 3.70823E-01 
189 	 6.55369E-02 	 1.62871E-01 	 5.39669E-01 
190 	 6.55369E-02 	 1.54925E-01 	 3.92723E-01 
191 	 6.55369E-02 	 1.60845E-01 	 4.61298E-01 
192 	 6.55369E-02 	 1.48014E-01 	 2.95728E-01 
193 	 6.55369E-02 	 1.63800E-01 	 4.54098E-01 
194 	 6.55369E-02 	 1.57445E-01 	 2.89467E-01 
195 	 6.55369E-02 	 1.56294E-01 	 3.49883E-01 
196 	 6.55369E-02 	 1.61071E-01 	 4.58627E-01 
197 	 6.55369E-02 	 1.50686E-01 	 3.53847E-01 
198 	 6.55369E-02 	 1.48653E-01 	 2.79322E-01 
199 	 6.55369E-02 	 1.52716E-01 	 3.80883E-01 
200 	 6.55369E-02 	 1.54876E-01 	 4.08031E-01 
201 	 6.55369E-02 	 1.58926E-01 	 3.60426E-01 
202 	 6.55369E-02 	 1.48536E-01 	 4.08621E-01 
203 	 6.55369E-02 	 1.57309E-01 	 3.40004E-01 
204 	 6.55369E-02 	 1.50200E-01 	 4.40829E-01 
205 	 6.55369E-02 	 1.52438E-01 	 3.99148E-01 
206 	 6.55369E-02 	 1.49571E-01 	 3.52720E-01 
207 	 6.55369E-02 	 1.43330E-01 	 4.68562E-01 
208 	 6.55369E-02 	 1.50839E-01 	 3.78356E-01 
209 	 6.55369E-02 	 1.55538E-01 	 4.90203E-01 
210 	 6.55369E-02 	 1.71372E-01 	 4.92269E-01 
211 	 6.55369E-02 	 1.59447E-01 	 5.23404E-01 
212 	 6.55369E-02 	 1.57539E-01 	 4.23277E-01 
213 	 6.55369E-02 	 1.59913E-01 	 4.30432E-01 
214 	 6.55369E-02 	 1.64074E-01 	 4.57462E-01 
215 	 6.55369E-02 	 1.52747E-01 	 3.69109E-01 
216 	 6.55369E-02 	 1.51776E-01 	 5.14667E-01 
217 	 6.55369E-02 	 1.52477E-01 	 4.47533E-01 
218 	 6.55369E-02 	 1.59754E-01 	 3.95906E-01 
219 	 6.55369E-02 	 1.59797E-01 	 4.19396E-01 
220 	 6.55369E-02 	 1.51547E-01 	 3.01855E-01 
221 	 6.55369E-02 	 1.59982E-01 	 4.90002E-01 
222 	 6.55369E-02 	 1.75957E-01 	 4.94170E-01 
223 	 6.55369E-02 	 1.61877E-01 	 4.69379E-01 
224 	 6.55369E-02 	 1.59840E-01 	 4.46642E-01 
225 	 6.55369E-02 	 1.51359E-01 	 4.62267E-01 
226 	 6.55369E-02 	 1.64574E-01 	 4.44017E-01 
227 	 6.55369E-02 	 1.59812E-01 	 3.05106E-01 
228 	 6.55369E-02 	 1.50410E-01 	 3.04915E-01 
229 	 6.55369E-02 	 1.55204E-01 	 4.20153E-01 
230 	 6.55369E-02 	 1.42167E-01 	 2.81604E-01 
231 	 6.55369E-02 	 1.52157E-01 	 3.49255E-01 
232 	 6.55369E-02 	 1.57125E-01 	 4.67869E-01 
233 	 6.55369E-02 	 1.60598E-01 	 4.14697E-01 
234 	 6.55369E-02 	 1.58372E-01 	 3.75969E-01 
235 	 6.55369E-02 	 1.60062E-01 	 4.44086E-01 
236 	 6.55369E-02 	 1.55303E-01 	 3.41574E-01 
237 	 6.55369E-02 	 1.49760E-01 	 3.38191E-01 
238 	 6.55369E-02 	 1.53978E-01 	 5.20952E-01 
239 	 6.48722E-02 	 1.55524E-01 	 5.35634E-01 
240 	 6.48722E-02 	 1.44618E-01 	 3.07163E-01 
241 	 6.48722E-02 	 1.52485E-01 	 3.97066E-01 
242 	 6.48722E-02 	 1.50477E-01 	 4.32074E-01 
243 	 6.48722E-02 	 1.51297E-01 	 2.87422E-01 
244 	 6.48722E-02 	 1.57178E-01 	 5.05071E-01 
245 	 6.48722E-02 	 1.53974E-01 	 5.23936E-01 
246 	 6.48722E-02 	 1.50029E-01 	 3.80668E-01 
247 	 6.48722E-02 	 1.52727E-01 	 3.35410E-01 
248 	 6.48722E-02 	 1.49435E-01 	 4.06223E-01 
249 	 6.48722E-02 	 1.52592E-01 	 3.64164E-01 
250 	 6.48722E-02 	 1.50162E-01 	 3.97431E-01 
251 	 6.48722E-02 	 1.49328E-01 	 2.41284E-01 
252 	 6.48722E-02 	 1.54992E-01 	 3.93790E-01 
253 	 6.48722E-02 	 1.54163E-01 	 3.77180E-01 
254 	 6.48722E-02 	 1.56545E-01 	 4.36169E-01 
255 	 6.48722E-02 	 1.61177E-01 	 4.20130E-01 
256 	 6.48722E-02 	 1.52165E-01 	 3.94634E-01 
257 	 6.48722E-02 	 1.49601E-01 	 4.04776E-01 
258 	 6.48722E-02 	 1.55699E-01 	 4.00347E-01 
259 	 6.48722E-02 	 1.47571E-01 	 2.44182E-01 
260 	 6.48722E-02 	 1.51248E-01 	 3.93298E-01 
261 	 6.48722E-02 	 1.57206E-01 	 4.82553E-01 
262 	 6.48722E-02 	 1.54497E-01 	 5.10219E-01 
263 	 6.48722E-02 	 1.50310E-01 	 4.37836E-01 
264 	 6.48722E-02 	 1.55894E-01 	 3.95680E-01 
265 	 6.48722E-02 	 1.47731E-01 	 3.49146E-01 
266 	 6.48722E-02 	 1.55502E-01 	 4.53865E-01 
267 	 6.37456E-02 	 1.55678E-01 	 3.44820E-01 
268 	 6.37456E-02 	 1.58771E-01 	 4.31428E-01 
269 	 6.37456E-02 	 1.55235E-01 	 3.48832E-01 
270 	 6.37456E-02 	 1.60032E-01 	 3.73991E-01 
271 	 6.37456E-02 	 1.47208E-01 	 3.82594E-01 
272 	 6.37456E-02 	 1.39164E-01 	 4.51515E-01 
